日期,价格
2016-05-01,1.003
2016-05-02,1.007
2016-05-03,1.01
2016-05-04,1.014
2016-05-05,1.017
2016-05-06,1.022
2016-05-07,1.026
2016-05-08,1.03
2016-05-09,1.035
2016-05-10,1.038
2016-05-11,1.041
2016-05-12,1.044
2016-05-13,1.048
2016-05-14,1.052
2016-05-15,1.056
2016-05-16,1.061
2016-05-17,1.064
2016-05-18,1.067
2016-05-19,1.07
2016-05-20,1.073
2016-05-21,1.076
2016-05-22,1.082
2016-05-23,1.087
2016-05-24,1.09
2016-05-25,1.093
2016-05-26,1.097
2016-05-27,1.101
2016-05-28,1.104
2016-05-29,1.108
2016-05-30,1.11
2016-05-31,1.114
2016-06-01,1.118
2016-06-02,1.122
2016-06-03,1.126
2016-06-04,1.129
2016-06-05,1.133
2016-06-06,1.136
2016-06-07,1.14
2016-06-08,1.143
2016-06-09,1.147
2016-06-10,1.15
2016-06-11,1.153
2016-06-12,1.156
2016-06-13,1.159
2016-06-14,1.162
2016-06-15,1.165
2016-06-16,1.168
2016-06-17,1.171
2016-06-18,1.174
2016-06-19,1.177
2016-06-20,1.18
2016-06-21,1.183
2016-06-22,1.186
2016-06-23,1.189
2016-06-24,1.192
2016-06-25,1.195
2016-06-26,1.198
2016-06-27,1.198
2016-06-28,1.198
2016-06-29,1.202
2016-06-30,1.205
2016-07-01,1.208
2016-07-02,1.211
2016-07-03,1.214
2016-07-04,1.217
2016-07-05,1.22
2016-07-06,1.223
2016-07-07,1.226
2016-07-08,1.229
2016-07-09,1.232
2016-07-10,1.235
2016-07-11,1.238
2016-07-12,1.241
2016-07-13,1.244
2016-07-14,1.247
2016-07-15,1.25
2016-07-16,1.253
2016-07-17,1.256
2016-07-18,1.259
2016-07-19,1.262
2016-07-20,1.265
2016-07-21,1.268
2016-07-22,1.271
2016-07-23,1.274
2016-07-24,1.277
2016-07-25,1.28
2016-07-26,1.283
2016-07-27,1.286
2016-07-28,1.289
2016-07-29,1.292
2016-07-30,1.295
2016-07-31,1.298
2016-08-01,1.301
2016-08-02,1.304
2016-08-03,1.308
2016-08-04,1.311
2016-08-05,1.314
2016-08-06,1.317
2016-08-07,1.32
2016-08-08,1.323
2016-08-09,1.326
2016-08-10,1.329
2016-08-11,1.333
2016-08-12,1.336
2016-08-13,1.339
2016-08-14,1.342
2016-08-15,1.345
2016-08-16,1.348